Keyword,Match Type,Max CPC,Ad Group,Campaign,Status
"mother's day gifts",Phrase,$3.50,通用母亲节礼物,母亲节核心礼物,Active
"gifts for mom",Phrase,$3.20,通用母亲节礼物,母亲节核心礼物,Active
"mother's day gift ideas",Phrase,$3.00,通用母亲节礼物,母亲节核心礼物,Active
"best mother's day gifts",Phrase,$3.40,通用母亲节礼物,母亲节核心礼物,Active
"skincare gift sets",Exact,$3.80,护肤礼盒特定,母亲节核心礼物,Active
"skincare gift box",Exact,$3.60,护肤礼盒特定,母亲节核心礼物,Active
"beauty gift sets",Phrase,$3.30,护肤礼盒特定,母亲节核心礼物,Active
"luxury skincare gifts",Exact,$4.00,高端奢侈品,母亲节核心礼物,Active
"premium skincare gifts",Exact,$3.90,高端奢侈品,母亲节核心礼物,Active
"spa gift sets",Phrase,$3.10,护肤礼盒特定,母亲节核心礼物,Active
"affordable skincare gifts",Phrase,$2.50,实惠选择,价格导向,Active
"gifts under $100",Phrase,$2.40,实惠选择,价格导向,Active
"skincare gifts under $100",Phrase,$2.60,实惠选择,价格导向,Active
"luxury gifts under $150",Phrase,$3.20,高端预算,价格导向,Active
"premium sets sale",Phrase,$3.00,高端预算,价格导向,Active
"what to get mom for mother's day",BMM,$2.20,礼物灵感,问题解决型,Active
"gift ideas for mother's day",BMM,$2.30,礼物灵感,问题解决型,Active
"last minute mother's day gifts",Phrase,$3.50,最后时刻,问题解决型,Active
"guaranteed delivery mother's day",Phrase,$3.30,最后时刻,问题解决型,Active
"organic skincare gift set",Phrase,$3.00,护肤礼盒特定,母亲节核心礼物,Active
"vegan skincare gift set",Phrase,$2.90,护肤礼盒特定,母亲节核心礼物,Active
"Korean skincare gift set",Phrase,$2.80,护肤礼盒特定,母亲节核心礼物,Active
"anti-aging skincare gift set",Phrase,$3.40,护肤礼盒特定,母亲节核心礼物,Active
"hydrating skincare gift",Phrase,$2.70,护肤礼盒特定,母亲节核心礼物,Active
"spa day at home gift set",Phrase,$2.90,护肤礼盒特定,母亲节核心礼物,Active
"self-care gift box for moms",Phrase,$2.80,护肤礼盒特定,母亲节核心礼物,Active
"mother's day skincare gift for sensitive skin",BMM,$2.60,护肤礼盒特定,母亲节核心礼物,Active
"best skincare gifts for mother's day 2026",BMM,$3.20,护肤礼盒特定,母亲节核心礼物,Active
"where to buy skincare gift sets for mom",BMM,$2.40,护肤礼盒特定,母亲节核心礼物,Active
"how to choose skincare gift for mother",BMM,$2.20,护肤礼盒特定,母亲节核心礼物,Active
"mother's day gifts near me",Phrase,$2.90,通用母亲节礼物,母亲节核心礼物,Active
"skincare gift stores near me",Phrase,$2.70,护肤礼盒特定,母亲节核心礼物,Active
"luxury beauty gifts local delivery",Phrase,$3.10,高端奢侈品,母亲节核心礼物,Active
"same day mother's day gift delivery",Phrase,$3.40,最后时刻,问题解决型,Active
"local skincare gift sets",Phrase,$2.60,护肤礼盒特定,母亲节核心礼物,Active
"premium facial skincare gift",Phrase,$3.50,高端奢侈品,母亲节核心礼物,Active
"discounted skincare gift sets",Phrase,$2.80,实惠选择,价格导向,Active
"best value skincare gift box",Phrase,$2.90,实惠选择,价格导向,Active
"anti-wrinkle gift set for mom",Phrase,$3.20,护肤礼盒特定,母亲节核心礼物,Active
"mother's day present ideas",Phrase,$3.00,通用母亲节礼物,母亲节核心礼物,Active
"unique mother's day gifts",Phrase,$3.10,通用母亲节礼物,母亲节核心礼物,Active
"thoughtful gifts for mom",Phrase,$2.90,通用母亲节礼物,母亲节核心礼物,Active
"personalized skincare gift",Phrase,$3.30,护肤礼盒特定,母亲节核心礼物,Active
"custom skincare gift set",Phrase,$3.20,护肤礼盒特定,母亲节核心礼物,Active
"high-end skincare gifts",Phrase,$3.70,高端奢侈品,母亲节核心礼物,Active
"designer skincare gift box",Phrase,$3.60,高端奢侈品,母亲节核心礼物,Active
"mother's day beauty gifts",Phrase,$3.10,护肤礼盒特定,母亲节核心礼物,Active
"mother's day spa gifts",Phrase,$3.00,护肤礼盒特定,母亲节核心礼物,Active
"relaxation gifts for mom",Phrase,$2.80,护肤礼盒特定,母亲节核心礼物,Active
"pamper mom gift set",Phrase,$2.90,护肤礼盒特定,母亲节核心礼物,Active